Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYear,OvertimeRiskFlag,ExperienceRatio
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,14,3,2,0,6,4,3,4,2,0,3,24336,1,0.14285714285714285
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,11,3,3,1,10,1,3,10,9,8,8,119760,0,0.3448275862068966
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,12,3,4,2,7,5,2,6,2,0,5,39576,1,0.1875
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,13,3,2,2,1,2,2,1,0,0,0,35220,1,0.045454545454545456
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,16,3,3,0,31,3,3,25,8,3,7,185124,0,0.4716981132075472
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,11,3,3,0,6,3,3,3,2,1,2,47328,1,0.07894736842105263
24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,18,3,4,1,5,5,2,4,2,1,3,48132,0,0.16666666666666666
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,23,4,2,0,10,4,3,5,3,0,3,40884,0,0.1388888888888889
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,11,3,3,0,13,4,3,12,6,2,11,143928,0,0.35294117647058826
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,14,3,4,0,0,6,3,0,0,0,0,14784,0,0.0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,11,3,3,0,8,2,3,4,2,1,3,35520,0,0.11764705882352941
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,11,3,4,1,26,3,2,14,13,4,8,229128,0,0.2641509433962264
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,22,4,2,0,10,5,3,10,2,6,7,47028,1,0.3125
42,No,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,11,3,4,1,10,2,3,9,7,4,2,81900,0,0.21428571428571427
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,14,3,4,1,24,4,3,22,6,5,17,122976,0,0.5
46,No,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,12,3,4,0,22,2,2,2,2,2,1,227364,0,0.043478260869565216
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,11,3,4,0,7,3,3,1,1,0,0,29952,0,0.030303030303030304
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,13,3,4,0,9,5,4,4,2,1,3,77580,1,0.09090909090909091
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,13,3,1,0,10,5,3,10,0,1,8,26472,0,0.3333333333333333
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,14,3,3,1,19,6,4,1,0,0,0,25032,0,0.02564102564102564
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,16,3,1,1,6,2,2,2,0,2,0,27516,1,0.08333333333333333
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,12,3,4,2,6,3,2,5,3,1,4,31740,0,0.11627906976744186
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,14,3,3,0,3,2,3,3,2,0,2,32196,1,0.06
35,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,13,3,1,0,2,3,3,2,2,2,2,24168,0,0.05714285714285714
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,14,3,4,1,6,3,4,1,1,0,0,41028,1,0.027777777777777776
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,19,3,1,2,10,3,3,5,3,1,3,64512,0,0.15151515151515152
35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,12,3,3,1,1,3,3,1,0,0,0,23412,0,0.02857142857142857
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,13,3,4,1,1,6,3,1,0,0,0,28092,0,0.037037037037037035
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,12,3,3,0,1,2,2,1,0,0,1,27516,0,0.038461538461538464
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,15,3,4,0,9,0,3,9,8,1,7,104712,0,0.3333333333333333
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,23,4,4,0,12,2,3,12,8,3,7,48132,0,0.4
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,12,3,4,0,23,0,3,22,15,15,8,234540,0,0.5365853658536586
34,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,20,4,3,0,10,2,3,9,5,8,7,54816,0,0.2647058823529412
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,21,4,1,0,8,1,3,1,0,0,0,36264,0,0.02702702702702703
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,21,4,3,0,14,4,3,9,6,0,8,69264,1,0.1956521739130435
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,19,3,4,0,1,2,3,1,0,0,1,27228,0,0.02857142857142857
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,13,3,4,0,23,2,3,1,0,0,0,64572,1,0.020833333333333332
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,13,3,3,0,2,3,2,2,2,2,2,41292,1,0.07142857142857142
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,21,4,3,1,9,2,2,4,3,1,3,65448,1,0.09090909090909091
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,13,3,3,1,10,3,3,4,0,2,3,118608,1,0.11428571428571428
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,19,3,3,1,5,2,2,2,2,0,0,49884,1,0.07692307692307693
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,12,3,3,0,15,1,3,15,14,8,12,161496,1,0.45454545454545453
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,22,4,4,1,9,3,2,9,8,1,8,108828,0,0.2571428571428571
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,15,3,3,1,4,3,3,2,2,2,2,48168,1,0.05714285714285714
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,22,4,4,1,10,3,2,7,7,1,7,70980,0,0.22580645161290322
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,18,3,3,1,7,2,4,7,5,0,7,71916,0,0.1891891891891892
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,22,4,2,1,9,3,3,9,8,7,8,73944,1,0.28125
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,11,3,4,0,10,2,3,10,3,9,9,28872,0,0.2631578947368421
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,12,3,4,1,29,2,2,27,3,13,8,224880,1,0.54
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,11,3,4,0,28,3,2,21,16,7,9,91644,0,0.3559322033898305
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,13,3,2,3,17,2,3,17,14,12,8,121152,0,0.4722222222222222
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,14,3,3,3,21,2,3,5,0,0,2,177072,1,0.09090909090909091
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,13,3,3,0,6,3,3,6,5,0,3,77988,0,0.16666666666666666
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,17,3,3,1,25,2,3,1,0,0,0,116688,0,0.022222222222222223
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,13,3,4,1,5,2,2,3,2,1,2,26328,0,0.08571428571428572
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,17,3,1,1,2,0,2,1,0,0,0,40656,1,0.027777777777777776
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,11,3,4,0,20,2,2,4,3,1,3,65676,0,0.06779661016949153
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,23,4,4,1,6,3,3,5,4,0,4,32436,0,0.1724137931034483
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,17,3,2,0,1,4,3,1,1,1,0,30012,0,0.03225806451612903
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,17,3,2,2,10,3,3,10,4,0,9,74640,0,0.3125
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,12,3,2,0,5,3,3,1,0,0,0,36456,0,0.027777777777777776
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,23,4,4,0,11,2,3,11,7,1,8,53088,0,0.3548387096774194
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,14,3,2,0,16,2,3,15,13,2,8,51744,0,0.42857142857142855
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,14,3,2,0,17,3,4,0,0,0,0,158940,1,0.0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,13,3,1,0,16,3,4,5,2,0,2,163968,0,0.13513513513513514
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,22,4,4,1,16,2,3,4,2,0,2,60252,1,0.08695652173913043
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,12,3,3,2,10,1,2,10,8,3,0,61512,1,0.3333333333333333
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,18,3,1,0,6,3,3,6,4,0,4,34308,0,0.17142857142857143
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,14,3,4,1,24,4,3,1,0,1,0,122868,0,0.01818181818181818
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,12,3,4,3,17,3,3,13,11,1,9,63948,1,0.34210526315789475
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,15,3,3,0,5,2,3,5,2,1,3,51900,0,0.14705882352941177
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,11,3,1,0,37,3,2,6,4,0,2,87120,0,0.10714285714285714
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,13,3,3,1,3,3,3,0,0,0,0,27864,0,0.0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,23,4,2,2,10,4,3,4,2,0,3,24900,0,0.0784313725490196
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,19,3,1,3,11,3,3,11,10,10,8,49824,0,0.36666666666666664
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,16,3,4,0,9,3,3,9,8,4,7,115428,0,0.1956521739130435
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,22,4,4,1,22,3,2,22,3,11,11,162036,0,0.55
51,No,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,22,4,4,0,11,2,1,10,7,1,0,65292,1,0.19607843137254902
30,No,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,12,3,2,3,11,4,2,11,8,2,7,62508,1,0.36666666666666664
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,13,3,3,1,21,5,2,10,9,9,5,128076,1,0.21739130434782608
32,No,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,16,3,1,0,12,0,3,11,8,5,7,60120,0,0.34375
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,12,3,1,1,16,5,1,4,3,0,3,162588,0,0.07407407407407407
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,21,4,1,1,4,2,2,3,2,0,2,59988,0,0.125
28,No,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,15,3,2,0,5,3,4,5,4,0,4,50652,0,0.17857142857142858
58,No,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,13,3,3,0,38,1,2,37,10,1,8,166464,0,0.6379310344827587
44,No,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,12,3,3,1,17,3,4,3,2,1,2,24504,0,0.06818181818181818
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,22,4,4,0,7,3,3,3,2,0,2,24876,1,0.08108108108108109
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,13,3,4,0,1,2,3,1,0,0,0,35472,0,0.03125
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,18,3,2,0,1,5,3,1,0,1,0,35112,1,0.05
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,14,3,3,0,16,3,3,16,13,2,10,57708,0,0.47058823529411764
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,14,3,4,1,17,2,4,1,0,0,0,61956,0,0.02702702702702703
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,18844,21922,9,21,4,4,1,30,3,3,3,2,2,2,226128,0,0.05084745762711865
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,18172,9755,3,19,3,1,0,28,1,2,8,3,0,7,218064,1,0.16
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,5744,26959,1,11,3,4,0,6,1,3,6,4,0,3,68928,1,0.24
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,2889,26897,1,11,3,3,2,2,2,3,2,2,2,1,34668,0,0.08
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,2871,23785,1,15,3,3,0,1,5,3,0,0,0,0,34452,0,0.0
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,7484,25796,3,20,4,3,0,23,1,2,13,12,12,8,89808,0,0.2549019607843137
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,6074,22887,1,24,4,4,0,9,3,3,9,7,0,6,72888,1,0.2647058823529412
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,17328,13871,2,12,3,3,0,23,3,3,5,3,4,4,207936,1,0.09259259259259259
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,2774,13257,0,12,3,3,1,6,2,3,5,3,1,2,33288,0,0.20833333333333334
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,4505,15000,6,15,3,3,1,12,3,3,1,0,0,0,54060,0,0.029411764705882353
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,7428,14506,2,12,3,1,0,12,3,3,5,3,1,3,89136,0,0.13513513513513514
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631,5615,2,12,3,4,0,14,6,3,11,10,5,8,139572,0,0.3235294117647059
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,9738,22952,0,14,3,3,1,10,6,3,9,7,2,8,116856,0,0.25
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,22,4,1,1,7,2,3,1,0,0,0,34020,0,0.027777777777777776
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,16959,19494,1,12,3,4,2,25,3,4,25,12,4,12,203508,1,0.5813953488372093
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2613,22310,1,25,4,3,3,10,2,2,10,7,0,9,31356,0,0.3333333333333333
33,No,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,6146,15480,0,13,3,1,1,8,2,4,7,7,0,7,73752,0,0.21212121212121213
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,4963,4510,9,18,3,1,3,7,2,3,5,4,4,3,59556,1,0.08928571428571429
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,19537,6462,7,13,3,3,0,23,5,3,20,18,15,15,234444,0,0.39215686274509803
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,18,3,2,0,12,3,2,7,7,7,7,74064,1,0.22580645161290322
26,No,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,2368,23300,1,19,3,3,0,5,3,2,5,4,4,3,28416,0,0.19230769230769232
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,10312,3465,1,12,3,4,1,40,3,2,40,10,15,6,123744,0,0.6896551724137931
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1675,26820,1,19,3,4,0,0,2,2,0,0,0,0,20100,1,0.0
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,2523,19299,0,14,3,3,1,3,2,3,2,1,2,1,30276,0,0.09090909090909091
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,6567,5549,1,14,3,3,0,16,2,2,15,11,5,11,78804,0,0.30612244897959184
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,4739,16090,4,12,3,4,0,18,2,3,3,2,1,2,56868,0,0.06976744186046512
50,No,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,9208,6645,4,11,3,4,0,16,3,3,2,2,2,1,110496,0,0.04
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,4559,24788,3,11,3,3,1,4,2,3,2,2,2,2,54708,1,0.06451612903225806
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,8189,21196,3,13,3,3,1,12,2,3,9,7,0,7,98268,1,0.21951219512195122
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,2942,8916,1,23,4,4,1,8,3,3,8,7,5,7,35304,0,0.3076923076923077
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,20,4,4,2,7,0,3,3,2,0,1,59292,0,0.08333333333333333
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2,15,3,4,0,18,2,3,4,2,0,3,127800,0,0.0784313725490196
